2025-12-11 14:23:16,425 - INFO - Игрок: камень, Компьютер: бумага, Результат: Вы проиграли
2025-12-11 14:25:11,244 - INFO - Игрок: камень, Компьютер: ножницы, Результат: Вы победили
2025-12-11 14:25:16,964 - INFO - Игрок: бумага, Компьютер: бумага, Результат: Ничья
2025-12-11 14:25:28,391 - INFO - Игрок: камень, Компьютер: бумага, Результат: Вы проиграли
2025-12-11 14:25:31,917 - INFO - Игрок: камень, Компьютер: камень, Результат: Ничья
2025-12-11 14:25:33,851 - INFO - Игрок: камень, Компьютер: ножницы, Результат: Вы победили
2025-12-11 14:25:35,258 - INFO - Игрок: камень, Компьютер: бумага, Результат: Вы проиграли
2025-12-11 14:25:36,932 - INFO - Игрок: камень, Компьютер: бумага, Результат: Вы проиграли
2025-12-11 15:02:57,067 - INFO - Игрок: камень, Компьютер: ножницы, Результат: Вы победили
2025-12-11 15:03:02,786 - INFO - Игрок: ножницы, Компьютер: камень, Результат: Вы проиграли
2025-12-11 15:03:04,807 - INFO - Игрок: бумага, Компьютер: бумага, Результат: Ничья
2025-12-11 15:03:07,771 - INFO - Игрок: бумага, Компьютер: бумага, Результат: Ничья
2025-12-11 15:03:09,872 - INFO - Игрок: камень, Компьютер: бумага, Результат: Вы проиграли
2025-12-11 15:03:12,540 - INFO - Игрок: камень, Компьютер: бумага, Результат: Вы проиграли
